Input,Success count,Input count,Input faces,Output faces,Runtime,Case 1,Case 2,Case 3,Case 4,Case 5,Trial count
blub_control_mesh,26,26,1810.1538461538462,4863.2692307692305,0.521846153846154,0.0,0.0,0.038461538461538464,0.0,0.0,1/21;2/4;4/1;
spot_control_mesh,26,26,1970.7692307692307,6414.461538461538,0.6634999999999999,0.0,0.0,0.2692307692307692,0.5384615384615384,0.0,1/23;2/3;
bob_controlmesh,26,26,2980.3076923076924,8611.846153846154,0.5425384615384616,0.0,0.0,0.07692307692307693,0.15384615384615385,0.0,1/25;2/1;
pig_quad_controlmesh,26,26,4103.076923076923,8959.384615384615,1.4261923076923078,0.15384615384615385,0.0,0.5769230769230769,1.5384615384615385,0.11538461538461539,1/23;2/3;
pawn_open,26,26,4704.0,5933.0,0.7245384615384616,0.0,0.0,0.15384615384615385,0.0,0.0,1/26;
rook_open,26,26,8956.307692307691,11793.076923076924,1.9917692307692307,0.0,0.038461538461538464,1.6538461538461537,4.6923076923076925,0.07692307692307693,1/22;2/4;
table,26,26,10992.0,27119.384615384617,2.0895,0.0,0.0,0.0,0.0,0.15384615384615385,1/26;
bigguy,26,26,16953.846153846152,27795.846153846152,5.26203846153846,0.11538461538461539,0.038461538461538464,1.9615384615384615,3.3846153846153846,0.2692307692307692,1/22;2/4;
bishop_open,26,26,16973.846153846152,8971.23076923077,2.2732307692307687,0.15384615384615385,0.11538461538461539,1.7307692307692308,3.5384615384615383,0.34615384615384615,1/15;2/11;
monsterfrog,26,26,21069.53846153846,22166.69230769231,6.7753461538461535,0.4230769230769231,0.11538461538461539,1.5,3.076923076923077,0.07692307692307693,1/21;2/4;3/1;
ogre_controlmesh,26,26,21485.384615384617,21900.0,7.208923076923076,0.7307692307692307,0.07692307692307693,2.576923076923077,4.576923076923077,0.11538461538461539,1/17;2/9;
spot_quadrangulated,26,26,23424.0,20114.076923076922,2.340923076923077,0.0,0.0,0.38461538461538464,0.7692307692307693,0.0,1/26;
toad_small,26,26,32246.153846153848,28644.884615384617,4.642230769230769,0.11538461538461539,0.11538461538461539,1.4230769230769231,5.1923076923076925,0.15384615384615385,1/16;2/8;3/2;
car,26,26,34407.692307692305,36746.92307692308,9.618115384615384,0.23076923076923078,0.0,1.5,7.5,0.4230769230769231,1/15;2/10;3/1;
free_man_3dsmax,26,26,34642.46153846154,24615.153846153848,11.192153846153845,0.6538461538461539,0.15384615384615385,3.3461538461538463,6.461538461538462,0.38461538461538464,1/16;2/10;
bob_quad,26,26,42752.0,24361.076923076922,2.8823846153846153,0.0,0.0,0.038461538461538464,0.46153846153846156,0.0,1/26;
fertility,26,26,51646.153846153844,39452.53846153846,14.177423076923079,0.038461538461538464,0.0,0.38461538461538464,0.38461538461538464,0.0,1/22;2/3;3/1;
blub_quadrangulated,26,26,56832.0,22876.923076923078,3.231,0.0,0.0,0.0,0.0,0.0,1/26;
killeroo_small,26,26,68294.76923076923,42032.230769230766,33.87446153846153,2.3461538461538463,0.0,6.269230769230769,12.26923076923077,0.7692307692307693,1/15;2/11;
AngelaFace,26,26,281598.46153846156,60494.92307692308,52.43361538461538,0.11538461538461539,0.23076923076923078,2.5384615384615383,7.1923076923076925,0.11538461538461539,1/13;2/7;3/5;4/1;
